"Datetime","Link","Price","Description","Brand","Condition","Title","Size","Amt Sold","Activity","Recent Review1","Time Listed","Sold and Reviews","Discount","In Bags","Like","Free Shipping","Color","Material","Style"
"2023-11-30T02:27:27.775723Z","https:\/\/www.depop.com\/products\/thrifthead-cute-vintage-plus-size-90s\/","$35.00","Cute vintage plus size 90s floral Tank teddy lingerie Bodysuit \ud83d\udc8b Super flattering and cute. Closet staple must have!

Great condition.
No tag or size.
Modeled on a M\/L - BEST FOR XXL+

\ud83d\udc8c Shipping is $4.40. DM 4 WRLDWDE Rates.
\ud83d\udcb8 Bundle and save!

5 Star \ud83c\udf1f Top Seller with over 4,000 reviews \ud83c\udf39 Message us with any other questions \ud83d\udc7c\ud83c\udffc Thank U for shopping with small businesses! \u2764\ufe0f

#teddy #90s #indie #lingerie #bodysuit

show more","NULL","Used - Excellent","Women's Black and Pink Bodysuit","Size XXL","14231 sold","Active today","All was perfect, thank youuu!!!!","LISTED 4 DAYS AGO","4290 Shop Reviews. Rated 5 out of 5 stars.","NULL","In 2 people's bags","65","NULL","Black","Plus size","Lace"
"2023-12-04T03:07:06.005078Z","https:\/\/www.depop.com\/products\/ageorama-revice-denim-camo-low-rise\/","$100.00","Revice Denim camo low rise pants

Super soft, button and draw string closure , long wide leg, soooo flattering honestly

Model is 5\u20198
26\u201d Waist
36\u201d Hip

US Shipping Only

show more","Revice","Like new","Revice Women's Trousers","Size S","1225 sold","Active today","great!","LISTED 14 HOURS AGO","497 Shop Reviews. Rated 4.95 out of 5 stars.","NULL","In 10+ people's bags","99+","NULL","NULL","Boho,","Y2K"
"2023-12-01T17:38:07.34972Z","https:\/\/www.depop.com\/products\/estelleshing-fairy-core-cream-faux-fur\/","$85.00","Fairy core cream faux fur vest with brown ruffle and cream lace layers. Has amazing crochet details all around the collar as well \u263a\ufe0f soft pink lining on the inside

Has brown ribbon to fasten in front. This is the most ethereal vest I\u2019ve ever laid my eyes on. Sad to sell but I just don\u2019t wear it as much. Price is firm!!!

Note: idk why the fur on the vest keeps showing pink in images. Irl it\u2019s more cream. Refer to last image for color accuracy

Size S - fits XS to M depending on desired fit!

Tags
Fairy core cottage core fairy grunge coquette dollette forest nymph gyaru Liz Lisa hysteric glamour j fashion whimsygoth

show more","NULL","Brand new","Women's Cream and Brown Gilet","Size S","288 sold","Active today","love \ud83e\udd79 the cutest packaging","LISTED 3 DAYS AGO","131 Shop Reviews. Rated 5 out of 5 stars.","NULL","In 10+ people's bags","99+","NULL","Cream","Cottage,","Fairy,"
"2023-12-03T04:30:57.558006Z","https:\/\/www.depop.com\/products\/glittergirl98-vintage-balletcore-off-shoulder-sweater-210f\/","$28.00","VINTAGE BALLETCORE OFF SHOULDER SWEATER

vintage purple boatneck off shoulder sweater with a super flattering tight fit from the early 00s by hooked up. so perfect for fall and winter, adorable button detail on neckline

size medium modeled on XS

message for questions

#offshoulder #sweater #balletcore #twilightcore #depopamplified

show more","Hooked Up by IOT","Used - Excellent","Hooked Up by IOT Women's Purple Jumper","Size M","680 sold","Active today",":D","LISTED 1 DAY AGO","203 Shop Reviews. Rated 5 out of 5 stars.","NULL","In 10+ people's bags","99+","NULL","Purple","Cotton","Coquette,"
"2023-11-30T15:07:35.170898Z","https:\/\/www.depop.com\/products\/doublebdoublep-hello-kitty-cozy-fluffy-home\/","$24.00","Hello Kitty Cozy Fluffy Home Slippers - available in multiple styles

Please note that these slippers are not waterproof, so it's important to avoid getting the sole wet. And one-size-fits-all, approximately suitable for shoe sizes 5 to 8.

shipment takes about 2 weeks
* NO RERUEN\/REDUND
#depop #hellokitty #hellokittyplushslippers #plushslippers

show more","NULL","Brand new","Women's White Slippers","One size","166 sold","Active today","quick shipping! seller was very kind.","LISTED 4 DAYS AGO","28 Shop Reviews. Rated 4.6 out of 5 stars.","NULL","In 10+ people's bags","99+","NULL","White","Y2K","NULL"
"2023-12-02T16:55:44.143322Z","https:\/\/www.depop.com\/products\/chblakemore-ah-the-most-beautiful-vintage\/","$38.00","AH the most beautiful vintage lace slip dress, has roses all over and a drop waist. by circa 2000. tagging victoria\u2019s secret for exposure. sixe small but i\u2019d say xs-m","Victoria's Secret","Brand new","Victoria's Secret Women's Cream and Pink Dress","Size S","43 sold","Active today","Came perfect","LISTED 2 DAYS AGO","15 Shop Reviews. Rated 5 out of 5 stars.","NULL","In 7 people's bags","99+","NULL","Cream","Lace,","Silk"
"2023-12-04T06:33:07.491492Z","https:\/\/www.depop.com\/products\/camryn22-white-sweat-set-t-shirt\/","$60.00","Sale until the last 3 are sold\u203c\ufe0f\u203c\ufe0f
All orders will be size medium shirt and sweats for inventory purposes
Can request bows in both hips instead of one:)
White sweat set, t shirt & sweatpants
Handmade by me\ud83d\udc95
Brand new:)

Made per order-
If you want to request different sizing message me!

Tags for exposure: brandy Melville coquette trendy sets urban outfitters winter clothes
Sweatpants baby tee white set bows crop top women\u2019s trending #pinkribbon #lace #coquette #cottagecore
#babytee

show more","NULL","Used - Excellent","Women's White and Cream Joggers-tracksuits","Size M","168 sold","Active today","cute top!!! it is so cute and it arrived in 9 days\ud83d\ude0b","LISTED 11 HOURS AGO","78 Shop Reviews. Rated 4.9 out of 5 stars.","20% OFF","In 10+ people's bags","99+","NULL","White","Streetwear","NULL"
"2023-12-01T03:11:27.646748Z","https:\/\/www.depop.com\/products\/pandafashion-handmade-crochet-balaclava-womens-autumn\/","$27.00","Handmade crochet balaclava women's autumn and winter Korean style warm knitted woolen hat niche neck protection hat

\ud83d\udc96Worldwide free shipping
\ud83d\udc96DM to save your bundles
\ud83d\udc96delivery time\uff1a6-14days
\ud83d\udc96handmade vintage and factory items
\ud83d\udc96normally not accept return or refunds

show more","NULL","Other","Women's Multi Hat","Brand new","1779 sold","Active today","Shipping was slower than anticipated and tracking was weird. Did not come from Bensenville as seller\u2019s profile indicates. However, sweater is of good quality and as described.","LISTED 3 DAYS AGO","318 Shop Reviews. Rated 4.65 out of 5 stars.","NULL","In 10+ people's bags","99+","Free domestic shipping","Multi","Streetwear,","Retro,"
"2023-12-04T15:45:34.105785Z","https:\/\/www.depop.com\/products\/forever-21-halter-prom-style\/","$27.00","Vintage Forever 21 Black Halter Style Formal Dress.
Size Small. New condition, never worn.
Measures approx 14.5\u201d from armpit to armpit when laid flat. The length measures out to about 30\u201d.

Material: 49% Polyester, 48% Cotton, 3% Spandex. Lining: 100% Polyester. Dry Clean Only.

Has a zipper and hook closure at the back. This dress has lining underneath.

Comes as pictured. See photos before purchasing. You can remove those clear rubber\/plastic straps with the Forever 21 logo on the inside for comfort before wearing.

Gothic Style Punk dress.
#depop #vintage #dress #goth #party

show more","Forever 21","Like new","Forever 21 Women's Black Dress","Size S","85 sold","Active today","Shipped fast and protected!!!!","LISTED 2 HOURS AGO","77 Shop Reviews. Rated 5 out of 5 stars.","15% OFF","In 2 people's bags","99+","NULL","Black","Cute,","Goth,"
"2023-11-28T08:17:04.157236Z","https:\/\/www.depop.com\/products\/dushavalov-bape-baby-milo-beanie-brand-4322\/","$55.00","Bape Baby Milo Beanie

Brand new never worn
Unisex","BAPE","NULL","BAPE Women's Hat","Brand new","Active today","NULL","Shipped fast and protected!!!!","LISTED 6 DAYS AGO","NULL","NULL","In 10+ people's bags","99+","NULL","NULL","NULL","NULL"
"2023-12-04T04:43:58.028937Z","https:\/\/www.depop.com\/products\/4leafclovers-red-gingham-lace-dress\/","$40.00","red gingham lace dress ! \ud83d\udc8b
in perfect condition
size small & the ties r adjustable



feel free to ask me any questions <3



#priscillapresley #lanadelrey #coquette
mini dress cute

show more","NULL","Brand new","Women's Red and White Dress","Size S","380 sold","Active today","\u2764\ufe0f\u2764\ufe0f","LISTED 13 HOURS AGO","121 Shop Reviews. Rated 4.95 out of 5 stars.","NULL","In 4 people's bags","99+","NULL","Red","Antique,","Vintage"
"2023-11-28T20:12:56.785692Z","https:\/\/www.depop.com\/products\/annieayars-dainty-betsey-johnson-dress-free\/","$60.00","Dainty BETSEY JOHNSON dress. FREE SHIPPING\/already calculated into the cost ;) <3

\ud83c\udf37Intricate pink Lacey detail under bust.
\ud83c\udf37Adjustable straps.
\ud83c\udf37Tie in the back to cinch the waist.
\ud83c\udf37Size 6. small-medium.
\ud83c\udf37Unique turquoise-ish color?

Final sale, please make sure you will love this item 100% before buying! :) sorry it is expensive, just trying to pay my bills. \ud83d\udc85

show more","Betsey Johnson","Used - Excellent","Betsey Johnson Women's Green and Pink Dress","Multiple sizes","Active today","NULL","NULL","LISTED 5 DAYS AGO","1 Shop Reviews. Rated 5 out of 5 stars.","NULL","In 4 people's bags","99+","Free domestic shipping","Green","Cottage,","Whimsygoth,"
"2023-12-01T19:25:10.244215Z","https:\/\/www.depop.com\/products\/sosquish-gorpcore-hiking-sneakers-y2k\/","$88.00","gorpcore hiking sneakers \ud83c\udf48

y2k Merrell elastic pull string lace up cream and blue hiking sneakers in great condition\u2019 a few spots that can be washed out - perfect sporty preppy sneaker giving keen sneakers ! :)

womens size 7.5 fits true to size super comfy!

show more","Merrell","Used - Excellent","Merrell Women's Cream and Blue Trainers","Size US 7.5","499 sold","Active today","Shipped fast and item looks just like the photos. Thanks!","LISTED 2 DAYS AGO","184 Shop Reviews. Rated 4.95 out of 5 stars.","20% OFF","In 4 people's bags","99+","NULL","Cream","Elastane \/ Lycra \/ Spandex","Sportswear,"
"2023-11-27T18:48:25.430473Z","https:\/\/www.depop.com\/products\/emilyweed-off-the-shoulder-knit-long\/","$25.00","off the shoulder knit long sleeve shirt
never worn but super comfy\u2728","Charlotte Russe","Like new","Charlotte Russe Women's Black Shirt","Size S","Active this week","NULL","NULL","LISTED 6 DAYS AGO","3 Shop Reviews. Rated 5 out of 5 stars.","NULL","In 10+ people's bags","99+","NULL","Black","Y2K,","Boho"
"2023-11-27T13:56:13.398926Z","https:\/\/www.depop.com\/products\/sahilly14-sexy-backless-buckle-top\/","$30.00","Sexy Backless Buckle Top \ud83e\udee0

#tank #y2k #women #top #gothic","NULL","Brand new","Women's Black Crop-top","Multiple sizes","21 sold","Active this week","Very kind seller and great product!","LISTED 7 DAYS AGO","6 Shop Reviews. Rated 4.666666666666667 out of 5 stars.","NULL","In 8 people's bags","99+","Free domestic shipping","Black","Cotton,","Polyester"
"2023-12-04T17:30:33.851526Z","https:\/\/www.depop.com\/products\/granolaginger-woolrich-hand-embroidered-long-sleeve\/","$13.00","woolrich hand embroidered long sleeve","Woolrich","Used - Excellent","Woolrich Women's T-shirt","Size M","150 sold","Active today","lfg","LISTED 33 MINUTES AGO","35 Shop Reviews. Rated 4.95 out of 5 stars.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2023-12-04T17:31:28.346625Z","https:\/\/www.depop.com\/products\/granolaginger-granola-sweater-vest\/","$12.00","granola sweater vest","NULL","Used - Excellent","Women's Jumper","Size M","150 sold","Active today","lfg","LISTED 32 MINUTES AGO","35 Shop Reviews. Rated 4.95 out of 5 stars.","NULL","NULL","1","NULL","NULL","NULL","NULL"
"2023-12-04T17:29:16.489612Z","https:\/\/www.depop.com\/products\/granolaginger-chaps-sweater-vest-granola-girl\/","$14.00","chaps sweater vest granola girl, no size but fits s\/m","Chaps","Used - Excellent","Chaps Women's Jumper","Size S","150 sold","Active today","lfg","LISTED 34 MINUTES AGO","35 Shop Reviews. Rated 4.95 out of 5 stars.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2023-12-04T17:29:37.586012Z","https:\/\/www.depop.com\/products\/granolaginger-wrangler-hiking-pants-no-size\/","$20.00","wrangler hiking pants, no size but fits M\/L","Wrangler","Used - Excellent","Wrangler Women's Trousers","Size M","150 sold","Active today","lfg","LISTED 34 MINUTES AGO","35 Shop Reviews. Rated 4.95 out of 5 stars.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2023-12-04T17:32:23.1317Z","https:\/\/www.depop.com\/products\/granolaginger-universal-thread-black-skinny-jeans\/","$13.00","universal thread black skinny jeans","Universal Thread","Used - Excellent","Universal Thread Women's Jeans","Size 8","150 sold","Active today","lfg","LISTED 32 MINUTES AGO","35 Shop Reviews. Rated 4.95 out of 5 stars.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2023-12-04T18:02:50.928373Z","https:\/\/www.depop.com\/products\/upliftedresell-red-2000s-billabong-hoodie-sz\/","$25.00","red 2000s billabong hoodie
sz| medium","Billabong","Used - Good","Billabong Women's Red Hoodie","Size M","126 sold","Active today","Cold jeans","LISTED 1 MINUTE AGO","39 Shop Reviews. Rated 4.9 out of 5 stars.","25% OFF","NULL","NULL","NULL","Red","Streetwear,","Skater"
"2023-12-04T17:34:00.036168Z","https:\/\/www.depop.com\/products\/granolaginger-levi-jeans-perfect-baggy-mom\/","$30.00","levi jeans perfect baggy mom jeans","Levi's","Used - Excellent","Levi's Women's Jeans","Size 34""","150 sold","Active today","lfg","LISTED 30 MINUTES AGO","35 Shop Reviews. Rated 4.95 out of 5 stars.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2023-12-04T17:58:10.585297Z","https:\/\/www.depop.com\/products\/upliftedresell-walls-zero-zone-carpenter-coat\/","$25.00","WALLS zero zone carpenter coat
size| 18 in kids so size small!
#walls #carhartt #dickies #carharttcoat #carpentercoat

this item will be disinfected and not washed to ensure that it stays the way it\u2019s pictured!\ud83e\udd0d","Carhartt","Used - Good","Carhartt Women's Brown Coat","Size S","126 sold","Active today","Cold jeans","LISTED 6 MINUTES AGO","39 Shop Reviews. Rated 4.9 out of 5 stars.","NULL","NULL","NULL","NULL","Brown","Y2K,","Streetwear"
"2023-12-04T17:53:57.06908Z","https:\/\/www.depop.com\/products\/sicilyrosee-black-denim-cutoff-shorts\/","$10.00","Black denim cutoff shorts","NULL","Used - Excellent","Women's Shorts","Size 6","250 sold","Active today","Super great dress and affordable price!\u2665\ufe0f","LISTED 10 MINUTES AGO","30 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2023-12-04T17:23:29.692982Z","https:\/\/www.depop.com\/products\/spiralingxlonely-floral-skirt-vintage-mixit\/","$15.00","#floral #skirt #vintage #mixit","NULL","Like new","Women's Pink and Purple Skirt","Size 8","71 sold","Active today","\u2b50\ufe0f\u2b50\ufe0f\u2b50\ufe0f","LISTED 41 MINUTES AGO","15 Shop Reviews. Rated 4.6 out of 5 stars.","NULL","NULL","NULL","NULL","Pink","Boho,","Whimsygoth,"
"2023-12-04T17:44:38.20057Z","https:\/\/www.depop.com\/products\/sicilyrosee-brown-cargo-pants\/","$20.00","Brown cargo pants","NULL","Used - Excellent","Women's Trousers","Size S","250 sold","Active today","Super great dress and affordable price!\u2665\ufe0f","LISTED 20 MINUTES AGO","30 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2023-12-04T18:00:02.186672Z","https:\/\/www.depop.com\/products\/sicilyrosee-black-ripped-denim-shorts\/","$10.00","Black ripped denim shorts","NULL","Used - Excellent","Women's Black Shorts","Size 6","250 sold","Active today","Super great dress and affordable price!\u2665\ufe0f","LISTED 5 MINUTES AGO","30 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","Black","Skater","NULL"
"2023-12-04T17:14:35.91943Z","https:\/\/www.depop.com\/products\/sicilyrosee-olive-green-cargo-pants\/","$20.00","Olive green cargo pants","NULL","Used - Excellent","Women's Trousers","Size 2","250 sold","Active today","Super great dress and affordable price!\u2665\ufe0f","LISTED 50 MINUTES AGO","30 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2023-12-04T17:16:55.694632Z","https:\/\/www.depop.com\/products\/sicilyrosee-jgalt-bootleg-jeans\/","$20.00","J.Galt bootleg jeans","NULL","Used - Excellent","Women's Jeans","Size S","250 sold","Active today","Super great dress and affordable price!\u2665\ufe0f","LISTED 48 MINUTES AGO","30 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2023-12-04T18:02:24.987823Z","https:\/\/www.depop.com\/products\/sicilyrosee-black-chiffon-mini-skirt\/","$10.00","Black chiffon mini skirt","Wild Fable","Used - Excellent","Wild Fable Women's Skirt","Size XS","250 sold","Active today","Super great dress and affordable price!\u2665\ufe0f","LISTED 3 MINUTES AGO","30 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2023-12-04T17:47:46.196269Z","https:\/\/www.depop.com\/products\/12kristina21-xs-dark-green-butterfly-romwe\/","$7.00","XS dark green butterfly ROMWE cropped tank top

#grunge #romwe #whimsygoth #fairy #emo","Romwe","Used - Excellent","Romwe Women's Green and Black Vest","Size XS","14 sold","Active today","Super nice seller, love the overalls and came with a free bracelet! Thank you so much","LISTED 18 MINUTES AGO","5 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","Green","NULL","NULL"
"2023-12-04T17:56:24.33013Z","https:\/\/www.depop.com\/products\/sicilyrosee-denim-wild-fable-skirt\/","$10.00","Denim wild fable skirt","Wild Fable","Used - Excellent","Wild Fable Women's Blue Skirt","Size 6","250 sold","Active today","Super great dress and affordable price!\u2665\ufe0f","LISTED 9 MINUTES AGO","30 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","Blue","Boho,","Skater"
"2023-12-04T17:35:33.403259Z","https:\/\/www.depop.com\/products\/sicilyrosee-brandy-melville-white-sweat-pants\/","$20.00","Brandy Melville white sweat pants","Brandy Melville","Used - Excellent","Brandy Melville Women's Joggers-tracksuits","Size XS","250 sold","Active today","Super great dress and affordable price!\u2665\ufe0f","LISTED 30 MINUTES AGO","30 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2023-12-04T17:30:22.274699Z","https:\/\/www.depop.com\/products\/mac227-moving-sale-need-all-listed\/","$10.00","MOVING SALE\ud83c\udf80\ud83c\udf80
NEED ALL LISTED PIECES GONE\ud83e\udef6
ACCEPTING AND ANSWERING OFFERS NOW!!
I DO NOT ACCEPT PAYPAL PAYMENT.


please do not buy this listing\ud83e\udef6","Aritzia","Brand new","Aritzia Women's White Shirt","One size","19 sold","Active today","First thing I ever bought on Depop. Asked her for an eta, she followed thru w it. Girlfriend loved the gift. Thanks!","LISTED 35 MINUTES AGO","8 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","White","Cottage,","Fairy,"
"2023-12-04T17:47:12.666866Z","https:\/\/www.depop.com\/products\/sicilyrosee-brown-pleather-flare-pants\/","$30.00","Brown pleather flare pants","Revice","Used - Excellent","Revice Women's Trousers","Size 24","250 sold","Active today","Super great dress and affordable price!\u2665\ufe0f","LISTED 19 MINUTES AGO","30 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2023-12-02T18:08:41.550851Z","https:\/\/www.depop.com\/products\/hushhhhhhnow-handmade-loose-knit-off-the-shoulder-long\/","$85.00","Handmade sheer off-the-shoulder long sleeve top \ud83e\ude70 with extra long sleeves, frilly wavy hems, a wide crochet ribbed neckline, and some imperfections throught the knitting and construction (ladders, wavy crochet seams)

Made using a comfortable, stretchy acrylic wool in the perfect pinky purpley mauve shade (color shows best in the try on photos)

Best fits sizes Small-Medium

Measurements taken with the garment laid flat:
shoulders- 16"" - 20"" stretched
armhole depth- 7"" - 10"" stretched
pit to pit- 14""- 19"" stretched
hips- 14"" - 21"" stretched
torso length- 19""
sleeves length- 27""

*care info will be included\ud83d\udc8c
#handmadetop #looseknit #jumper #sheer #offtheshoulder autumn winter fairy earth angel coquette apocalyptic knit knitwear crochet

show more","NULL","Brand new","Women's Pink and Purple Jumper","Size M","464 sold","Active today","amazingly crafted as always!","LISTED 2 DAYS AGO","201 Shop Reviews. Rated 5 out of 5 stars.","10% OFF","In 10+ people's bags","99+","NULL","Pink","Acrylic,","Crochet,"
"2023-11-18T21:26:57.17315Z","https:\/\/www.depop.com\/products\/bl0ndita-girls-my-swag-multiple\/","$45.00","Girls \u2764\ufe0f my swag
Multiple sizes available
Handmade in LA.

#swag #graphictee","!M?ERFECT","Brand new","!M?ERFECT Women's T-shirt","Multiple sizes","649 sold","Active today","great seller! love it sm","LISTED 15 DAYS AGO","182 Shop Reviews. Rated 4.7 out of 5 stars.","NULL","In 10+ people's bags","99+","NULL","NULL","NULL","NULL"
"2023-11-26T17:37:34.595801Z","https:\/\/www.depop.com\/products\/regi998-tank-top-bd3f\/","$50.00","Tank top","NULL","Used - Excellent","Women's Vest","Size S","230 sold","Active today","Never sent me my package and I\u2019ve been asking for a refund for a year now","LISTED 8 DAYS AGO","67 Shop Reviews. Rated 4.45 out of 5 stars.","NULL","In 10+ people's bags","99+","NULL","NULL","NULL","NULL"
"2023-12-04T03:37:41.886193Z","https:\/\/www.depop.com\/products\/lainie_ching-jpg-jeans-mesh-black-tshirt\/","$150.00","JPG jeans mesh black tshirt
Price is now firm due to offer volume
Size medium but suits xs - s","JPG Jeans","Used - Good","JPG Jeans Women's Black T-shirt","Size S","83 sold","Active this week","thank you so much! great seller!","LISTED 14 HOURS AGO","55 Shop Reviews. Rated 5 out of 5 stars.","NULL","In 3 people's bags","99+","NULL","Black","Punk,","Grunge,"
"2023-12-03T19:00:11.719074Z","https:\/\/www.depop.com\/products\/pollypocketscloset-wet-seal-vintage-y2k-mesh\/","$47.00","Wet Seal vintage y2k mesh fish net long sleeve top
fits xs-large

#mesh #vintage #wetseal #fishnet #y2k","Wet Seal","Like new","Wet Seal Women's Red Shirt","Size S","81 sold","Active today","super sweet seller and awesome item !! :)","LISTED 23 HOURS AGO","34 Shop Reviews. Rated 4.95 out of 5 stars.","NULL","In 10+ people's bags","99+","NULL","Red","Goth,","Indie,"
"2023-11-28T06:16:50.269436Z","https:\/\/www.depop.com\/products\/4_2526037-interest-check-d-i-a\/","$350.00","D. I. A. 2 piece set with shirts and sleeveless hoodie

2000s japanese gyaru brand striped hoodie and shorts set

instant buy \ud83c\udd97","NULL","Used - Excellent","Women's Hoodie","One size","702 sold","Active today","Amazing, fast shippings, items perfect.","LISTED 6 DAYS AGO","227 Shop Reviews. Rated 5 out of 5 stars.","NULL","In 10+ people's bags","99+","NULL","NULL","NULL","NULL"
"2023-12-04T13:14:16.312125Z","https:\/\/www.depop.com\/products\/aurorademi-women-y2k-fairy-vintage-lace\/","$27.00","Women y2k Fairy Vintage Lace Top Grunge Aesthetic Square Collar Long Sleeve T Shirt Gothic E Girl Clothes Streetwear


#gifts #cat #croptops #xmas","NULL","Like new","Women's Black Crop-top","Multiple sizes","56 sold","Active today","NULL","LISTED 4 HOURS AGO","1 Shop Reviews. Rated 1 out of 5 stars.","NULL","In 10+ people's bags","99+","Free domestic shipping","Black","Cotton,","Polyester"
"2023-11-05T23:09:35.241708Z","https:\/\/www.depop.com\/products\/babysilvertooth-betsey-johnson-y2k-ribbon-bow\/","$45.00","Betsey Johnson Y2K Ribbon Bow and Velvet Trimmed Lingerie Style Tank Top

-Tagged a size medium. Fits as such
-Brand- Betsey Johnson
-FLAWS- None
-Has a braw cup style back, very sweet
-The straps and bust have pink velvet trim. It has a tulle detailing and rosettes on each side. Smack dab in the middle is a little pink bow:)
- Is stretchy, best for a medium if you want a tighter fit
-Bust point line so you don't get uniboob
-Modelled on a size small with a C bust

show more","Betsey Johnson","NULL","Betsey Johnson Women's multi Vest","Size M","691 sold","Active this week","the dress was perfect i wore it to a puzzle concert :3","LISTED 28 DAYS AGO","303 Shop Reviews. Rated 4.4 out of 5 stars.","NULL","In 10+ people's bags","99+","NULL","Pink","Retro,","Coquette,"
"2023-11-18T01:57:24.922636Z","https:\/\/www.depop.com\/products\/josephinesgoodies-white-shrug-sweater\/","$19.00","White shrug sweater","SHEIN","Like new","SHEIN Women's Jumper","Size M","41 sold","Active today","tysm! item arrived as advertised and stickers are so cute awh","LISTED 16 DAYS AGO","65 Shop Reviews. Rated 5 out of 5 stars.","NULL","In 5 people's bags","99+","NULL","NULL","NULL","NULL"
"2023-11-06T19:00:04.607928Z","https:\/\/www.depop.com\/products\/kaitclinard-jaded-lndn-nova-mesh-top\/","$52.00","JADED LNDN NOVA MESH TOP IN DARK GREEN
Size Small BRAND NEW WITH TAGS.

sold for 72$","Jaded London","Brand new","Jaded London Women's Khaki and Green Crop-top","Size S","79 sold","Active today","Just as pictured! Thank you!","LISTED 27 DAYS AGO","34 Shop Reviews. Rated 4.7 out of 5 stars.","NULL","In 10+ people's bags","99+","NULL","Khaki","Streetwear,","Utility,"
"2023-11-13T03:28:03.662352Z","https:\/\/www.depop.com\/products\/mallfairy-stunning-2000s-lace-off-shoulder\/","\u20ac99.00","Stunning 2000s mesh see through lace off shoulder top by vintage French brand, made in France. Cream with red stripes with red ribbons. Size taille 1 which corresponds to S. I think it might also fit M.

Measured as a flat lay:
Pit to pit 15\u201d
Length 18\u201d
Stretchy

Message me to save on bundles \ud83d\udecd\ufe0f\u2728


y2k, coquette, acubi, dainty, Liz Lisa, axes femme, Lolita

show more","NULL","Used - Excellent","Women's White and Red Blouse","Size S","1039 sold","Active today","Pretty disappointed with this dress. It\u2019s really cute but the length in the post reflected the sheer outer part but not the lining which looks like it was cut with scissors and does not go past my booty, make this dress unwearable.","LISTED 21 DAYS AGO","380 Shop Reviews. Rated 4.85 out of 5 stars.","NULL","In 10+ people's bags","99+","NULL","White","Rave,","Y2K,"
"2023-11-28T21:06:30.417846Z","https:\/\/www.depop.com\/products\/prixprintz-purple-off-the-shoulder-sweater-available-at\/","$29.99","purple off-the-shoulder sweater

available in S,M,L

free worldwide shipping!

Available at prixprintz.com","NULL","Brand new","Women's Purple T-shirt","Multiple sizes","6 sold","Active today","Pretty disappointed with this dress. It\u2019s really cute but the length in the post reflected the sheer outer part but not the lining which looks like it was cut with scissors and does not go past my booty, make this dress unwearable.","LISTED 5 DAYS AGO","NULL","NULL","In 10 people's bags","99+","Free domestic shipping","Purple","Cotton","Streetwear,"
"2023-11-25T18:10:38.367647Z","https:\/\/www.depop.com\/products\/amuee-antique-victorian-silk-blouse\/","$80.00","antique victorian silk blouse \u2014 tattered lace, delicate, high neck

can be worn either way

AS-IS please inspect photos","NULL","Used - Fair","Women's Cream and Tan Blouse","Size XS","115 sold","Active today","in LOVE with this dress!! so excited to wear it!","LISTED 9 DAYS AGO","25 Shop Reviews. Rated 4.95 out of 5 stars.","NULL","In 9 people's bags","99+","NULL","Cream","NULL","NULL"
"2023-12-01T10:15:48.764925Z","https:\/\/www.depop.com\/products\/buymyshiiiiiii-bebe-rhinestone-y2k-off-the\/","$120.00","Message before buying
Bebe rhinestone y2k off the shoulder fuzzy top
No flaws
Terry cloth type material but it\u2019s SO soft!
Size small medium. Cinches at waist
pastel yellow color

Coquette angelic Bebe y2k 2000s baddie
Bundle to save!

show more","Bebe","Like new","Bebe Women's Yellow Blouse","Size S","126 sold","Active today","LOVE THEM!! So cute","LISTED 3 DAYS AGO","79 Shop Reviews. Rated 5 out of 5 stars.","NULL","In 10+ people's bags","99+","NULL","Yellow","NULL","NULL"
