"Datetime","Link","Price","Description","Brand","Condition","Title","Size","Amt Sold","Activity","Recent Review1","Time Listed","Sold and Reviews","Discount","In Bags","Like","Free Shipping","Color","Material","Style"
"2023-12-06T17:05:12.899094Z","https:\/\/www.depop.com\/products\/cherrynat-pink-shorts-elastic-waist-band-0b8d\/","$10.00","Pink shorts
Elastic waist band
Says \u201cHawaii\u201d as a graphic in white on the front
Size medium
Length 12\u201d
9\/10 condition, no known flaws
Please message me with any questions","SHEIN","Used - Excellent","SHEIN Women's Pink Shorts","Size M","363 sold","Active today","Love this","LISTED 1 HOUR AGO","109 Shop Reviews. Rated 4.8 out of 5 stars.","15% OFF","NULL","1","NULL","Pink","Modern","NULL"
"2023-12-06T18:13:58.485265Z","https:\/\/www.depop.com\/products\/adamska3-cream-high-waisted-mom-shorts\/","$10.00","Cream high waisted mom shorts","Old Navy","Like new","Old Navy Women's Cream Shorts","Size 2","Active today","NULL","NULL","LISTED 16 MINUTES AGO","1 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","Cream","Streetwear,","Loungewear,"
"2023-12-06T17:57:03.446717Z","https:\/\/www.depop.com\/products\/jade_suarez-john-fault-brown-sweatpants-i\/","$10.00","John fault brown sweatpants
I don\u2019t reach for them anymore but they are so comfortable and can be worn with everything.
It\u2019s a one size fits all
In decent condition- some stains shown in pictures
Pm for try ons or measurements
#brandymelville #johngalt #sweatpants #cleangirl #downtowngirl

show more","Brandy Melville","Used - Excellent","Brandy Melville Women's Brown Joggers-tracksuits","One size","49 sold","Active today","Super fast shipping - thank you!\u263a\ufe0f","LISTED 33 MINUTES AGO","47 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","Brown","Streetwear,","Skater,"
"2023-12-06T17:58:36.661152Z","https:\/\/www.depop.com\/products\/tenschrzan-cargo-jean-skirt-dark-wash\/","$15.00","Cargo jean skirt, dark wash, stretchy material, size 6, never worn","NULL","Brand new","Women's Skirt","Size 6","22 sold","Active today","Awesome seller. Thank you \ud83d\udc95","LISTED 31 MINUTES AGO","4 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","1","NULL","NULL","NULL","NULL"
"2023-12-06T10:55:38.161654Z","https:\/\/www.depop.com\/products\/evigengel-super-cute-grey-low-waist\/","$20.00","Super cute grey low waist flared pants with double-sided drawstrings. Never worn out. Size M.
Not sure of brand, I think I bought them from Emmiol.
#whimsygoth #coquette #lolita #vintage #y2k","Emmiol","Used - Excellent","Emmiol Women's Grey Trousers","Size M","81 sold","Active today","Very friendly and good communication. Sent it out the day after I bought it.","LISTED 7 HOURS AGO","36 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","Grey","Y2K,","Streetwear"
"2023-12-06T18:16:10.644411Z","https:\/\/www.depop.com\/products\/adamska3-midrise-jean-shorts\/","$10.00","Midrise Jean shorts","NULL","Used - Excellent","Women's Blue Shorts","Size 7","Active today","NULL","NULL","LISTED 14 MINUTES AGO","1 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","Blue","Retro,","Skater,"
"2023-12-06T18:14:30.164473Z","https:\/\/www.depop.com\/products\/mneola-black-sweatpants-with-adjusters-at\/","$10.00","Black Sweatpants with adjusters at bottom","NULL","Like new","Women's Black Joggers-tracksuits","Size L","Active today","NULL","NULL","LISTED 16 MINUTES AGO","1 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","Black","Petite","Streetwear,"
"2023-12-06T16:34:32.131699Z","https:\/\/www.depop.com\/products\/thxkay-vintage-mini-black-denim-skirt\/","$18.00","Vintage mini black denim skirt
PacSun
Size | 26","PacSun","Like new","PacSun Women's Black Skirt","Size 26""","69 sold","Active today","Super fast shipping. Thank you!!","LISTED 1 HOUR AGO","26 Shop Reviews. Rated 4.9 out of 5 stars.","NULL","NULL","1","NULL","Black","Denim","Streetwear,"
"2023-12-06T15:12:55.789865Z","https:\/\/www.depop.com\/products\/bornfromchaos-maroon-genuine-leather-boot-cut\/","$35.00","Maroon genuine leather boot cut pants
Name tag was cut out
Waist 28\u201d
Rise 9 1\/2\u201d
Inseam 28 1\/2\u201d","Frye","Used - Excellent","Frye Women's Burgundy Jeans","Size 4","26 sold","Active today","Came quickly. My boyfriend will love this!!","LISTED 3 HOURS AGO","23 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","4","NULL","Burgundy","Streetwear,","Party,"
"2023-12-06T17:24:43.707998Z","https:\/\/www.depop.com\/products\/cherrynat-red-faux-denim-skirt-womens\/","$10.00","Red faux denim skirt
Women\u2019s size medium
Waist size flat 12.5\u201d
Length 15\u201d
9\/10 condition.
Please message me with any questions.","SHEIN","Like new","SHEIN Women's Red Skirt","Size M","363 sold","Active today","Love this","LISTED 1 HOUR AGO","109 Shop Reviews. Rated 4.8 out of 5 stars.","15% OFF","NULL","NULL","NULL","Red","Streetwear,","Punk,"
"2023-12-06T18:11:52.363244Z","https:\/\/www.depop.com\/products\/adamska3-wild-fable-acid-wash-mom\/","$15.00","Wild Fable acid wash mom shorts","Wild Fable","Like new","Wild Fable Women's Grey and Black Shorts","Size 0","Active today","NULL","NULL","LISTED 19 MINUTES AGO","1 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","Grey","Retro,","Skater,"
"2023-12-06T16:52:46.165721Z","https:\/\/www.depop.com\/products\/cherrynat-knit-high-waisted-shorts-some\/","$10.00","Knit high waisted shorts
Some stretch
Elastic waist band
Women\u2019s size medium
Waist size flat 13\u201d
Length 12\u201d
10\/10 condition. New without tags
Please message me with any questions.

show more","SHEIN","Used - Excellent","SHEIN Women's Pink and White Shorts","Size M","363 sold","Active today","Love this","LISTED 1 HOUR AGO","109 Shop Reviews. Rated 4.8 out of 5 stars.","15% OFF","NULL","NULL","NULL","Pink","Modern","NULL"
"2023-12-06T17:08:05.140921Z","https:\/\/www.depop.com\/products\/brattyfits-cider-black-maxi-skirt-mermaid\/","$10.00","Cider black maxi skirt
mermaid style, elastic waist
super soft and comfy

only worn a couple of times, no damages
size medium","Cider","Used - Excellent","Cider Women's Black Skirt","Size M","68 sold","Active today","thank you!! super quality and fast shipping !","LISTED 1 HOUR AGO","24 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","Black","Casual,","Boho,"
"2023-12-06T18:27:16.378482Z","https:\/\/www.depop.com\/products\/gabrimaelle-size-4-jean-gap-midi\/","$10.00","Size 4 jean GAP midi skirt with a slit in the back. It in great condition, I just cannot fit it anymore.","Gap","Used - Excellent","Gap Women's Blue Skirt","Size 4","7 sold","Active today","NULL","LISTED 3 MINUTES AGO","4 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","1","NULL","Blue","Y2K,","00s"
"2023-12-06T17:21:22.168103Z","https:\/\/www.depop.com\/products\/cherrynat-leopard-print-skort-very-mini\/","$10.00","Leopard print skort
Very mini
Looks like a skirt in the front only
Functional pockets
Belt loop
Women\u2019s size medium
Waist size flat 15\u201d
Length 10\u201d
Inseam 2\u201d
9\/10 condition, no known flaws
Please message me with any questions

show more","SHEIN","Used - Excellent","SHEIN Women's Pink and Orange Skirt","Size M","363 sold","Active today","Love this","LISTED 1 HOUR AGO","109 Shop Reviews. Rated 4.8 out of 5 stars.","15% OFF","NULL","1","NULL","Pink","Avant Garde,","Punk,"
"2023-12-06T15:50:05.991087Z","https:\/\/www.depop.com\/products\/themysteryvault-y2k-womens-jeans-dkny-bell\/","$22.00","y2k womens jeans

-dkny
-bell bottom
-tagged size 7
-30 waist, rise 8, 30.5 inseam
-good condition


#y2kjeans #womensflarejeans #womensbellbottomjeabs #dknyjeans #y2k

show more","DKNY","Used - Good","DKNY Women's Jeans","Size 7","886 sold","Active today","Thanks love it","LISTED 2 HOURS AGO","204 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","1","NULL","NULL","NULL","NULL"
"2023-12-06T17:44:15.48459Z","https:\/\/www.depop.com\/products\/karly_sam-new-york-company\/","$10.00","- New York & Company Floral Midi Skirt
- Size: 10
- This skirt is so cute and summery!!
- Zips up on the side
- No flaws save for a small barely visible stain on the back of the skirt that I attempted to show in the third slide
- DM if you have any Q\u2019s :)

#summerskirt #floralskirt #floralmidiskirt #midiskirt #summer

show more","New York & Company","Used - Good","New York & Company Women's Blue Skirt","Size 10","8 sold","Active today","great!","LISTED 47 MINUTES AGO","26 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","Blue","Boho,","Indie"
"2023-12-06T09:26:06.646018Z","https:\/\/www.depop.com\/products\/mydamncloset-urban-outfitters-out-from-under-54e5\/","$15.00","urban outfitters out from under multicolored terry cloth romper with pockets
size xs

#urbanoutfitters #romper #coverup #outfromunder","Urban Outfitters","Used - Good","Urban Outfitters Women's Multi Playsuit-romper","Size XS","554 sold","Active today","shipping was a bit delayed but seller communicated about it and I didn\u2019t mind at all. lovely seller overall would recommend. thank you!! <3","LISTED 9 HOURS AGO","313 Shop Reviews. Rated 4.9 out of 5 stars.","NULL","NULL","1","NULL","Multi","Boho,","Retro,"
"2023-12-06T15:25:23.639437Z","https:\/\/www.depop.com\/products\/gordovintage-vintage-style-carhartt-slim-fit\/","$15.00","Vintage Style Carhartt Slim Fit Carpenter Pants Black Womens Workwear Size 30 x 28

Size: 8
(Size is based off of measurements, not tagged size)

Measurements:
Waist: 30""
Inseam: 28""

The perfect essential pair of pants to add to your wardrobe!

No major flaws

Freshly washed, ready to wear!

Message with any questions or offers!
I accept all reasonable offers!

#carhartt #womens #workwear #essential #y2k

show more","Carhartt","Used - Good","Carhartt Women's Black Trousers","Size 8","152 sold","Active today","good","LISTED 3 HOURS AGO","32 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","3","NULL","Black","Cotton,","Denim"
"2023-12-06T17:30:44.878317Z","https:\/\/www.depop.com\/products\/gabrimaelle-small-black-tennis-skirts-the\/","$7.00","Small black tennis skirt with shorts underneath. The waistband is very stretchy.","NULL","Used - Excellent","Women's Black Skirt","Size S","7 sold","Active today","NULL","LISTED 1 HOUR AGO","4 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","Black","NULL","NULL"
"2023-12-06T11:34:49.018117Z","https:\/\/www.depop.com\/products\/shopsellship-rock-roll-cow-girl-9bfb\/","$13.00","Rock & Roll Cow girl jeans
26x26 (been altered)
Used condition!","NULL","Used - Good","Women's Blue Jeans","Size 26""","1020 sold","Active today","Great and nice seller!","LISTED 6 HOURS AGO","290 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","1","NULL","Blue","Glam,","Streetwear,"
"2023-12-06T18:31:29.312113Z","https:\/\/www.depop.com\/products\/iisqbella-small-zara-knit-sunflower-skirt\/","$16.00","small zara knit sunflower skirt","Zara","Used - Excellent","Zara Women's Cream and Yellow Skirt","Size S","9 sold","Active today","perfect!! thank uu\ud83d\udc95","LISTED 0 MINUTES AGO","3 Shop Reviews. Rated 4.666666666666667 out of 5 stars.","NULL","NULL","NULL","NULL","Cream","NULL","NULL"
"2023-12-06T16:01:19.051238Z","https:\/\/www.depop.com\/products\/gigibb-agatha-pants-never-worn-agathapants\/","$18.00","Agatha pants, never worn!

#agathapants #agatha #brandymelville #brandy #pants","Brandy Melville","Like new","Brandy Melville Women's Cream Trousers","One size","26 sold","Active today","Great seller","LISTED 2 HOURS AGO","7 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","1","NULL","Cream","NULL","NULL"
"2023-12-06T17:36:35.427447Z","https:\/\/www.depop.com\/products\/cherry_waves10-union-bay-grey-shorts-low\/","$20.00","Union bay grey shorts
Low rise
Size 1 can fit a 2
Worn one time","Union Bay","Like new","Union Bay Women's Shorts","Size 1","9 sold","Active today","Came as described :) Tysm!!! Love it so much","LISTED 55 MINUTES AGO","3 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2023-12-06T17:31:07.660247Z","https:\/\/www.depop.com\/products\/cherrynat-high-waisted-floral-shorts-rolled\/","$10.00","High waisted floral shorts
Rolled at the bottom
Zipper and buttons shut
Pockets functional
Women\u2019s size medium (7)
Waist size flat 13\u201d
Length 11\u201d
Inseam 3\u201d
9\/10 condition
Please message me with any questions

show more","No Boundaries","Used - Excellent","No Boundaries Women's Shorts","Size M","363 sold","Active today","Love this","LISTED 1 HOUR AGO","109 Shop Reviews. Rated 4.8 out of 5 stars.","15% OFF","NULL","NULL","NULL","NULL","NULL","NULL"
"2023-12-06T11:47:49.321244Z","https:\/\/www.depop.com\/products\/studiocentral-zara-animal-print-wrap-skirt\/","$14.00","Zara animal print wrap skirt

Has a small rip by the knot, nothing noticeable though. Super cute and flattering skirt for work, night out, and casual wear.","Zara","Used - Fair","Zara Women's Skirt","Size S","84 sold","Active today","Great!","LISTED 6 HOURS AGO","29 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2023-12-06T15:25:56.109853Z","https:\/\/www.depop.com\/products\/sc0231226-pink-shein-dress-came-with\/","$12.00","PINK shein dress came with some spots so I never wore it. I\u2019m sure it\u2019ll come off with a wash. Tags still on!!

SIZE 1XL (14)","SHEIN","Brand new","SHEIN Women's Pink Dress","Size 14","29 sold","Active today","As described","LISTED 3 HOURS AGO","7 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","Pink","NULL","NULL"
"2023-12-06T17:24:24.10749Z","https:\/\/www.depop.com\/products\/devenykalo-priced-reasonably-already-so-pls-dc8d\/","$10.00","Priced reasonably already so pls be respectful with offers
Burgundy turtleneck long sleeve dress
So flattering and comfortable
#xhiliration #sexy #winterdress","Xhilaration","Used - Excellent","Xhilaration Women's Burgundy and Red Dress","Size XS","125 sold","Active today","Good communication and well priced. Great condition for a used pair of shoes. Thanks !","LISTED 1 HOUR AGO","61 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","Burgundy","Streetwear,","Casual"
"2023-12-06T03:28:49.838057Z","https:\/\/www.depop.com\/products\/gabriellegraceee-tigermist-juliana-dress-size\/","$22.00","Tigermist Juliana Dress \u2665\ufe0f Size Small & Perfect Condition","Tiger Mist","Like new","Tiger Mist Women's Burgundy and Red Dress","Size S","78 sold","Active today","Super fast shipping & great communication!!!","LISTED 15 HOURS AGO","28 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","7","NULL","Burgundy","Boho,","Glam,"
"2023-12-06T04:38:52.182724Z","https:\/\/www.depop.com\/products\/maggiekallery-vintage-black-formal-dress-midi-714f\/","$20.00","Satiny Green Midi Dress

Such a pretty fit. Like new con. Zips on the side. Tagged as a size 0.

Bust: 16\u201d can stretch to 17\u201d
Waist: 13.5\u201d
Length: 51\u201d

show more","Nasty Gal","Used - Excellent","Nasty Gal Women's Green Dress","Size XS","45654 sold","Active today","Super cute top! \ud83c\udf89","LISTED 13 HOURS AGO","19323 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","4","NULL","Green","NULL","NULL"
"2023-12-06T06:26:09.63733Z","https:\/\/www.depop.com\/products\/moodychicscloset-tan-mini-dress-super-cute\/","$17.00","tan mini dress

super cute flower straps, low open back, loose fitting. back has elastic band so it\u2019s stretchy. super flattering and cute. had for years but never get around to wearing it so great condition still :)","NULL","Used - Excellent","Women's Tan Dress","Size M","391 sold","Active today","great seller, thank you!!","LISTED 12 HOURS AGO","188 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","Tan","NULL","NULL"
"2023-12-06T15:13:45.820244Z","https:\/\/www.depop.com\/products\/angelcakesnlove-shinestar-dress\/","$10.00","shinestar dress","NULL","Used - Excellent","Women's Black Dress","Size S","39 sold","Active today","the seller is soso nice and responsive, fast shipping, and i LOVELOVE the clothes <33","LISTED 3 HOURS AGO","9 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","NULL","NULL","Black","Glam,","Fairy,"
"2023-12-06T06:26:11.020735Z","https:\/\/www.depop.com\/products\/moodychicscloset-pink-skims-dress-high-neck\/","$30.00","pink skims dress

high neck, soft and stretchy. never worn so perfect condition ! it is kinda see through, seen in pics :)

i\u2019m 5\u20196\/5\u20197 for reference","Skims","Like new","Skims Women's Pink Dress","Size L","391 sold","Active today","great seller, thank you!!","LISTED 12 HOURS AGO","188 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","6","NULL","Pink","NULL","NULL"
"2023-12-06T17:20:50.23108Z","https:\/\/www.depop.com\/products\/devenykalo-priced-reasonably-already-so-pls-c6b5\/","$15.00","Priced reasonably already so pls be respectful with offers
PUMIEFY bodycon long sleeve black dress
Also fits a small
So flattering and very comfortable
#bodycon #blackdress #trendy","& Other Stories","Used - Excellent","& Other Stories Women's Black Dress","Size XS","125 sold","Active today","Good communication and well priced. Great condition for a used pair of shoes. Thanks !","LISTED 1 HOUR AGO","61 Shop Reviews. Rated 5 out of 5 stars.","NULL","NULL","1","NULL","Black","Casual,","Minimalist"
